rain_1d,rain_3d,rain_5d,rain_7d,rain_10d,rain_15d,rain_30d,rain_60d,rain_90d,rain_event_day,rain_3d_ratio,rain_15d_ratio,lat,lon,date,landslide,trigger,size
7.7,155.2,357.9,460.7,640.6,750.9000000000001,989.6,1187.2,1322.4,7.7,5.626530369665993,5.4445382146677765,11.2738,75.8275,2007-06-25,1,rain,medium
0.0,2.8,8.7,82.5,133.29999999999998,133.3,256.90000000000003,482.3,831.6,0.0,0.12298387096774192,1.170982142857143,11.2738,75.8275,2005-11-30,0,,
6.9,34.6,182.3,355.4,547.4,587.5999999999999,630.9,741.8999999999999,762.3999999999999,6.9,1.2850315078084569,4.364650369874273,11.2738,75.8275,2006-06-04,0,,
21.1,45.400000000000006,63.50000000000001,79.19999999999999,82.20000000000002,86.9,235.70000000000005,387.00000000000006,815.5999999999999,21.1,1.998052018325458,0.764893041376574,11.2738,75.8275,2004-10-19,0,,
13.8,88.7,106.3,111.7,132.3,140.5,273.6,978.2,1745.6999999999998,13.8,3.749748778543956,1.1879136491215914,11.2738,75.8275,2003-08-24,0,,
6.4,31.5,31.9,32.5,35.5,47.1,93.4,122.3,189.4,6.4,5.298497173583344,1.5845029642906385,8.1747,77.444,2013-11-13,1,downpour,medium
5.7,22.7,25.499999999999996,26.2,26.2,26.400000000000002,81.30000000000001,130.29999999999998,304.8,5.7,3.003687635574837,0.6986550976138829,8.1747,77.444,2013-08-31,0,,
0.0,5.4,6.8,21.400000000000002,28.000000000000004,30.500000000000007,50.1,119.39999999999998,153.90000000000003,0.0,0.5983107801289619,0.6758695849604941,8.1747,77.444,2011-07-22,0,,
0.0,4.7,12.3,15.8,27.9,34.0,43.00000000000001,59.00000000000001,107.4,0.0,0.8491041018806457,1.2284910410188066,8.1747,77.444,2013-05-09,0,,
0.0,2.2,2.5,2.5,7.6000000000000005,34.8,41.4,56.89999999999999,176.8,0.0,0.32656040880885756,1.0331183842316582,8.1747,77.444,2012-06-27,0,,
9.2,39.4,56.5,76.2,94.8,111.9,201.7,439.5,773.0999999999999,9.2,1.3848458657447422,0.7866205704407951,9.7327,76.8403,2008-05-28,1,downpour,medium
13.4,34.7,35.7,38.9,55.5,103.5,149.0,410.1,508.59999999999997,13.4,1.5521173235563706,0.9259028414298809,9.7327,76.8403,2007-06-07,0,,
1.0,28.4,39.4,54.7,97.60000000000001,118.10000000000001,241.29999999999998,384.7,422.7,1.0,1.1667171768192073,0.9703471731151296,9.7327,76.8403,2007-05-11,0,,
21.4,32.9,32.9,37.9,40.0,47.3,246.8,437.5,916.4,21.4,1.4528015057188362,0.4177356305197626,9.7327,76.8403,2005-10-05,0,,
1.1,5.800000000000001,28.400000000000002,69.5,153.3,281.1,453.00000000000006,853.9,1106.4999999999998,1.1,0.2659450520539708,2.577832901116248,9.7327,76.8403,2004-06-22,0,,
6.1,36.8,37.199999999999996,42.9,46.1,101.80000000000001,188.99999999999997,337.3,524.7,6.1,1.9901591382596744,1.1010771754067112,8.4951,76.921,2013-11-13,1,downpour,medium
10.4,18.200000000000003,19.8,25.6,39.4,55.00000000000001,146.39999999999998,348.20000000000005,397.0,10.4,0.9384615384615387,0.5672020287404903,8.4951,76.921,2010-05-19,0,,
1.6,3.5,3.9000000000000004,3.9000000000000004,7.4,8.399999999999999,54.9,246.79999999999998,350.70000000000005,1.6,0.26143390681442474,0.12548827527092385,8.4951,76.921,2012-10-01,0,,
3.5,17.9,57.1,64.6,76.0,88.4,223.79999999999998,314.2,580.6,3.5,1.1424535704943761,1.128412241695004,8.4951,76.921,2012-07-05,0,,
59.4,95.69999999999999,150.1,197.4,247.1,376.4,605.4,861.0,945.3,59.4,5.591131117709031,4.398122785173833,8.4951,76.921,2013-06-22,0,,
83.1,170.3,197.3,206.5,271.6,492.5,802.6,1385.9,1787.1,83.1,5.958985831469054,3.4466242184362987,12.6445,75.605,2008-08-10,1,downpour,medium
57.3,178.10000000000002,235.8,272.7,547.0999999999999,752.5,937.0999999999999,1113.2,1271.0000000000002,57.3,6.414607504502111,5.420541434180615,12.6445,75.605,2007-07-01,0,,
10.7,27.099999999999998,42.0,48.599999999999994,51.3,57.89999999999999,93.2,207.4,386.3999999999999,10.7,0.8079865099342602,0.3452577042449717,12.6445,75.605,2008-05-24,0,,
8.6,31.700000000000003,53.00000000000001,64.19999999999999,79.7,221.1,292.09999999999997,824.9,1430.0,8.6,1.301628971459343,1.8157108239095314,12.6445,75.605,2005-10-23,0,,
0.0,5.300000000000001,31.7,62.300000000000004,93.39999999999999,95.0,263.1,415.90000000000003,1056.8,0.0,0.23744996511329006,0.8512357239910396,12.6445,75.605,2004-10-22,0,,
67.7,157.6,195.89999999999998,235.59999999999997,263.7,292.3,359.6,683.4999999999999,754.6,67.7,5.3243243243243255,1.9750000000000005,9.8721,76.7046,2011-06-02,1,downpour,medium
3.0,70.4,113.4,176.9,222.9,326.0,669.4,980.7999999999998,1202.4,3.0,2.365018173807688,2.190329331424165,9.8721,76.7046,2010-07-06,0,,
0.4,26.0,49.699999999999996,128.3,191.70000000000002,276.59999999999997,417.8,838.1,1105.5,0.4,0.9532109264657271,2.0281395558493855,9.8721,76.7046,2007-10-31,0,,
4.5,10.7,12.100000000000001,48.800000000000004,148.20000000000002,188.4,444.29999999999995,778.9,1054.3,4.5,0.4072375604429886,1.4340851661207297,9.8721,76.7046,2008-08-21,0,,
27.6,46.0,53.9,53.9,62.9,153.89999999999998,476.30000000000007,974.6,1209.3999999999996,27.6,1.8798780692057753,1.2578836297859513,9.8721,76.7046,2009-07-31,0,,
50.0,73.4,98.9,173.0,271.1,453.7,695.6999999999999,929.0999999999999,935.4,50.0,4.087270071660048,5.052845862430964,12.8041,74.8678,2016-07-04,1,unknown,small
10.7,21.0,28.400000000000002,34.0,44.2,61.000000000000014,217.99999999999994,431.6,889.7,10.7,1.2218618847768026,0.7098435711560475,12.8041,74.8678,2015-10-02,0,,
0.9,5.800000000000001,6.1000000000000005,10.9,10.9,54.89999999999999,88.80000000000001,625.8,1085.4,0.9,0.2930748840291584,0.554821073558648,12.8041,74.8678,2012-10-15,0,,
1.7,4.3,16.0,28.7,61.60000000000001,121.50000000000001,296.7,952.8,1800.9,1.7,0.19922527722922675,1.125854473644235,12.8041,74.8678,2013-08-28,0,,
5.1,28.6,74.0,99.5,162.29999999999998,254.6,555.7,739.1,869.3000000000001,5.1,1.3862534763607466,2.4681128327373854,12.8041,74.8678,2015-06-28,0,,
25.4,62.6,106.5,133.5,236.20000000000002,469.09999999999997,793.8,1434.6000000000001,1511.9,25.4,2.7280585818896235,4.08860153598857,12.896,74.8735,2010-07-29,1,downpour,medium
0.3,0.8999999999999999,1.8,5.8999999999999995,6.8999999999999995,11.3,240.90000000000003,578.5,899.9,0.3,0.043821839080459765,0.11004150702426566,12.896,74.8735,2009-10-25,0,,
4.6,20.3,21.4,26.200000000000003,52.49999999999999,209.09999999999997,414.6000000000001,693.2,1487.5,4.6,1.0008082114281098,2.061763517336135,12.896,74.8735,2009-09-15,0,,
44.9,57.2,57.599999999999994,57.7,59.2,62.4,73.4,412.79999999999995,824.6,44.9,2.8273235556275824,0.6168705939551089,12.896,74.8735,2009-11-08,0,,
0.8,2.4000000000000004,8.2,24.0,62.00000000000001,166.20000000000005,628.3,1444.3,2019.9999999999998,0.8,0.10328406645737065,1.4304843204345836,12.896,74.8735,2007-08-17,0,,
4.0,25.6,37.0,49.7,70.9,86.2,115.19999999999999,256.6,469.70000000000005,4.0,2.7798842901646643,1.872078326657766,12.9711,76.2728,2010-10-03,1,rain,medium
0.1,5.8999999999999995,11.7,35.9,72.39999999999999,120.90000000000002,186.80000000000004,380.4,454.9,0.1,0.7448261589403974,3.0525248344370866,12.9711,76.2728,2007-08-12,0,,
8.6,18.9,32.9,40.0,62.099999999999994,62.2,101.9,129.60000000000002,149.8,8.6,2.1796010965119574,1.4346157481803572,12.9711,76.2728,2009-05-24,0,,
5.2,11.7,18.2,27.8,45.4,47.5,79.5,166.0,175.29999999999998,5.2,1.8516020236087691,1.5034375405370348,12.9711,76.2728,2007-06-14,0,,
7.4,19.4,25.799999999999997,47.6,54.99999999999999,107.6,122.2,256.79999999999995,419.8,7.4,2.1028876055086627,2.332687694358063,12.9711,76.2728,2009-11-20,0,,
35.3,52.4,61.0,107.9,155.7,178.0,235.60000000000002,495.19999999999993,820.0999999999999,35.3,2.5703831771943233,1.746290860841945,9.7285,76.803,2012-08-17,1,downpour,medium
16.1,39.3,142.70000000000002,154.9,164.4,184.1,322.5,600.5,783.3000000000001,16.1,1.5227720256621988,1.4266785237883501,9.7285,76.803,2008-07-19,0,,
0.1,10.799999999999999,25.900000000000006,27.400000000000006,90.59999999999998,196.29999999999995,393.80000000000007,748.0,1143.6,0.1,0.3825117575335307,1.3905010741450385,9.7285,76.803,2011-09-23,0,,
4.7,14.3,23.499999999999996,75.50000000000001,170.20000000000002,197.49999999999997,383.99999999999994,810.1000000000001,1110.5,4.7,0.5197211630123928,1.4355934223069586,9.7285,76.803,2011-09-08,0,,
16.5,32.1,40.6,55.0,114.0,197.6,344.4,753.3000000000001,1103.0,16.5,1.1987511096146193,1.4758456028651015,9.7285,76.803,2011-08-30,0,,
28.5,150.8,162.5,177.2,181.7,198.2,245.6,419.1,585.6,28.5,11.861001869640903,3.1178389530010966,11.4098,76.6939,2009-11-09,1,downpour,medium
1.3,18.400000000000002,36.4,48.199999999999996,81.3,133.0,238.6,281.8,517.3999999999999,1.3,1.133966457870277,1.6393210749646394,11.4098,76.6939,2008-06-04,0,,
7.6,34.2,52.7,58.1,61.6,65.2,194.1,410.9000000000001,738.1,7.6,2.5630566988144237,0.9772590453959088,11.4098,76.6939,2007-08-25,0,,
0.2,6.8,17.599999999999998,41.900000000000006,68.2,119.39999999999999,179.6,340.70000000000005,578.0,0.2,0.4763435920992191,1.6728066146072575,11.4098,76.6939,2008-08-02,0,,
1.6,18.1,46.9,75.89999999999999,111.6,179.1,272.90000000000003,411.5,548.6,1.6,1.4617064936784272,2.8927252267160917,11.4098,76.6939,2006-11-12,0,,
39.0,84.1,119.19999999999999,163.7,189.4,230.79999999999998,409.59999999999997,1202.7000000000003,1535.1000000000001,39.0,3.2376775007888923,1.7770653202903122,11.3192,76.5959,2013-07-25,1,downpour,medium
7.5,15.0,17.8,18.1,22.9,49.99999999999999,141.7,504.2,792.3000000000001,7.5,0.64854520324627,0.4323634688308466,11.3192,76.5959,2012-08-06,0,,
5.0,10.7,17.1,24.7,163.4,317.09999999999997,554.6,1086.6000000000001,1357.7,5.0,0.3292224660159895,1.951335401377014,11.3192,76.5959,2011-09-10,0,,
0.0,23.6,41.8,51.99999999999999,55.099999999999994,110.7,456.09999999999997,814.3,1297.1999999999998,0.0,0.7430001806404996,0.697034915227994,11.3192,76.5959,2011-06-29,0,,
13.9,15.200000000000001,16.3,17.5,21.2,45.0,286.4,825.9999999999999,1301.4,13.9,0.4815247591597207,0.2851133442393083,11.3192,76.5959,2011-09-30,0,,
6.1,36.8,37.199999999999996,42.9,46.1,101.80000000000001,188.99999999999997,337.3,524.7,6.1,1.9901591382596744,1.1010771754067112,8.4863,76.9517,2013-11-13,1,downpour,medium
0.0,3.7,16.099999999999998,35.7,93.0,173.79999999999998,498.09999999999997,717.7000000000002,931.6,0.0,0.19239621515642316,1.8074844429289916,8.4863,76.9517,2009-11-28,0,,
13.2,35.400000000000006,55.5,80.7,98.5,121.10000000000001,157.6,430.30000000000007,648.3000000000001,13.2,1.6826274983441774,1.1512214127089258,8.4863,76.9517,2010-09-30,0,,
5.8,20.5,22.5,26.7,66.6,67.8,132.7,440.6000000000001,617.3,5.8,1.096593151225501,0.7253562502740386,8.4863,76.9517,2011-07-13,0,,
23.9,28.2,33.2,43.2,72.19999999999999,85.39999999999999,121.1,378.1,514.2,23.9,1.8739582765945855,1.135007353341685,8.4863,76.9517,2012-06-13,0,,
38.3,146.39999999999998,182.60000000000002,225.3,242.09999999999997,286.5,524.7,658.0,670.4999999999999,38.3,8.919250936329586,3.490936329588015,12.8157,74.8586,2016-06-24,1,downpour,medium
0.0,1.1,5.900000000000001,11.8,12.8,34.3,273.8999999999999,474.4,731.4,0.0,0.06120308295708485,0.38168468098691094,12.8157,74.8586,2015-10-24,0,,
22.0,55.4,68.8,87.8,97.8,184.9,468.69999999999993,1017.2,1347.2000000000003,22.0,3.089031078610603,2.0619561243144426,12.8157,74.8586,2014-08-24,0,,
11.2,64.8,89.8,139.2,246.8,420.5999999999999,599.5000000000001,1035.5000000000002,1728.4,11.2,3.1171043293115677,4.046463212680386,12.8157,74.8586,2012-09-09,0,,
10.9,100.0,166.4,209.5,242.00000000000003,309.7,362.5,565.8,638.6999999999999,10.9,5.139438874378633,3.1833684387901253,12.8157,74.8586,2015-06-14,0,,
3.7,69.4,101.30000000000001,134.49999999999997,152.2,169.2,245.29999999999998,357.0,366.69999999999993,3.7,2.6300944333996026,1.282455268389662,10.3316,76.9592,2016-05-09,1,construction,small
21.0,55.8,87.5,103.7,213.5,362.2,547.5,908.4,1295.1999999999998,21.0,2.0543183052688754,2.666932222825759,10.3316,76.9592,2014-07-23,0,,
20.0,162.3,189.5,226.5,259.0,305.2,585.2,943.9000000000001,1574.1000000000001,20.0,5.69965457685665,2.1436039147956247,10.3316,76.9592,2014-10-20,0,,
31.2,72.6,114.89999999999999,162.6,193.0,225.0,411.09999999999997,734.6999999999999,1111.4000000000003,31.2,2.648446610650958,1.6415991388332385,10.3316,76.9592,2014-07-10,0,,
10.3,53.599999999999994,95.7,122.40000000000002,141.0,202.7,374.90000000000003,755.5999999999999,969.9,10.3,1.8281752355391536,1.3827280606111434,10.3316,76.9592,2014-06-22,0,,
117.3,205.5,255.2,272.2,282.0,429.7,675.5999999999999,1602.5999999999997,1835.1,117.3,7.202654562169616,3.0121466329579407,10.0539,76.8298,2013-08-05,1,monsoon,medium
60.8,138.8,237.10000000000002,263.9,339.0,362.90000000000003,472.30000000000007,956.8,1396.7999999999997,60.8,4.508413205537806,2.3574973375931845,10.0539,76.8298,2009-11-07,0,,
0.0,0.2,0.30000000000000004,7.3,21.400000000000002,156.0,416.1,792.7,1298.8,0.0,0.006159905076872587,0.9609451919921235,10.0539,76.8298,2011-09-27,0,,
2.9,7.800000000000001,35.1,60.39999999999999,164.4,221.70000000000005,422.5,582.3,1017.4,2.9,0.36283219582872617,2.062561482441759,10.0539,76.8298,2012-09-07,0,,
5.8,33.9,50.4,71.9,93.7,105.4,363.19999999999993,746.7,1296.7,5.8,1.0109261567793504,0.628623108699372,10.0539,76.8298,2010-09-16,0,,
11.5,28.2,34.7,56.7,59.8,61.099999999999994,152.9,255.1,318.7,11.5,2.7514395393474085,1.1922904670505436,13.1819,76.1147,2011-07-02,1,rain,small
0.0,0.0,0.0,0.0,0.3,37.0,148.89999999999998,313.4,407.3,0.0,0.0,0.8550052088265933,13.1819,76.1147,2009-10-26,0,,
2.6,9.0,14.4,25.1,61.00000000000001,114.09999999999998,263.50000000000006,330.4000000000001,410.7,2.6,1.1581056850543192,2.9364413036599513,13.1819,76.1147,2007-07-08,0,,
5.4,10.2,11.0,34.7,61.800000000000004,83.60000000000001,89.7,274.29999999999995,579.9,5.4,0.9697630922693266,1.5896508728179553,13.1819,76.1147,2008-10-15,0,,
0.0,0.4,4.1000000000000005,7.6000000000000005,10.4,13.800000000000002,64.5,64.5,86.7,0.0,0.03887207264616855,0.268217301258563,13.1819,76.1147,2011-05-07,0,,
0.9,14.4,18.699999999999996,25.5,35.0,141.4,185.20000000000002,277.29999999999995,288.3,0.9,0.9252159258479038,1.8170212765957443,11.2993,76.9354,2011-06-16,1,rain,medium
1.3,2.0,3.2,6.8,68.1,76.00000000000001,123.00000000000001,151.8,284.3,1.3,0.12164115858218257,0.9244728052245876,11.2993,76.9354,2008-06-17,0,,
0.2,7.7,13.2,14.299999999999999,16.8,75.20000000000002,92.3,101.90000000000002,127.60000000000001,0.2,0.4937194513060388,0.964355915278289,11.2993,76.9354,2011-05-06,0,,
15.8,20.3,32.2,38.400000000000006,58.099999999999994,82.2,177.2,500.8,832.6999999999998,15.8,1.368741019122361,1.1084779484912124,11.2993,76.9354,2010-10-13,0,,
6.5,12.1,90.39999999999999,200.8,229.10000000000002,280.8,330.40000000000003,392.90000000000003,414.29999999999995,6.5,1.1731701502026541,5.445060796312484,11.2993,76.9354,2007-06-27,0,,
85.6,158.89999999999998,215.49999999999997,239.6,267.5,394.29999999999995,726.3,1662.5999999999997,2040.8,85.6,5.634260470253147,2.796210073531549,10.3228,76.4319,2013-08-05,1,monsoon,medium
30.0,59.1,74.6,107.9,139.2,207.2,371.5,580.5,679.9,30.0,2.0069587485386626,1.407248232477871,10.3228,76.4319,2010-06-05,0,,
6.5,26.0,42.1,70.6,76.69999999999999,82.80000000000001,108.0,572.6,988.3,6.5,1.1933784800601956,0.7600902934537247,10.3228,76.4319,2012-10-16,0,,
17.1,87.1,126.9,153.0,165.29999999999998,230.29999999999998,523.7,915.9,1759.1999999999998,17.1,3.1119896913254848,1.6456744567445674,10.3228,76.4319,2009-09-20,0,,
21.2,70.2,74.1,110.99999999999999,129.7,199.0,532.6,1152.3,1803.8,21.2,2.3396803715339436,1.3264854528069938,10.3228,76.4319,2010-08-14,0,,
6.2,159.5,247.7,297.4,316.2,419.9,693.3,1568.6,1868.7,6.2,5.537248875988847,2.9154743611632803,10.0606,76.6331,2013-08-07,1,monsoon,medium
3.7,4.800000000000001,69.5,102.2,179.79999999999998,256.9,464.50000000000006,799.0,1599.8999999999999,3.7,0.13718140929535239,1.4684126686656673,10.0606,76.6331,2010-09-03,0,,
0.2,0.30000000000000004,7.3,21.2,30.1,188.29999999999998,429.3,818.8000000000001,1304.8000000000002,0.2,0.009224022782832228,1.1579223266715386,10.0606,76.6331,2011-09-25,0,,
16.2,22.299999999999997,37.0,97.3,112.9,147.0,352.5,801.2000000000002,1059.7,16.2,0.7299900721779495,0.9624084359655479,10.0606,76.6331,2011-07-11,0,,
7.6,22.799999999999997,23.200000000000003,46.3,96.89999999999999,184.99999999999997,250.2,545.0999999999999,908.3,7.6,1.0546750587700007,1.7115340866004398,10.0606,76.6331,2012-08-24,0,,
16.7,62.5,105.0,122.5,133.39999999999998,166.8,258.6,543.2,664.4000000000001,16.7,2.156391402714932,1.1509954751131222,9.8012,76.9006,2011-05-31,1,downpour,medium
4.1,43.4,65.3,72.8,79.8,221.9,471.6000000000001,1158.3,1415.3999999999999,4.1,1.4533377250768555,1.4861550285463332,9.8012,76.9006,2010-07-31,0,,
2.0,2.5,6.5,29.299999999999997,116.80000000000001,288.0,519.7,795.9,1036.5,2.0,0.09538403802852137,2.1976482361771326,9.8012,76.9006,2008-08-06,0,,
7.2,10.6,17.900000000000002,25.2,31.7,163.00000000000003,362.49999999999994,821.0999999999999,1082.4000000000003,7.2,0.3992836853155489,1.227985673706311,9.8012,76.9006,2008-08-25,0,,
8.6,24.799999999999997,27.1,27.1,27.9,51.3,173.5,355.4000000000001,381.6000000000001,8.6,1.0641904962892617,0.4402659069325736,9.8012,76.9006,2007-05-25,0,,
123.9,199.2,241.60000000000002,254.9,261.5,400.0,627.6,1450.3,1652.8000000000002,123.9,8.426629680998612,3.3841886269070733,9.8957,76.9346,2013-08-05,1,monsoon,medium
8.7,8.7,10.6,27.099999999999998,72.7,105.10000000000001,405.4,700.6000000000001,1117.6000000000001,8.7,0.35462746408286,0.8568125626461746,9.8957,76.9346,2009-11-30,0,,
35.6,69.80000000000001,83.6,109.9,130.4,135.6,229.19999999999996,640.6000000000001,1001.8000000000001,35.6,2.9787323352455584,1.1573527354134603,9.8957,76.9346,2009-11-06,0,,
5.2,8.8,10.9,13.600000000000001,22.8,61.900000000000006,144.09999999999997,495.99999999999994,665.6000000000001,5.2,0.4918453362653472,0.6919369617005682,9.8957,76.9346,2012-08-04,0,,
9.2,19.6,45.8,53.7,60.2,105.70000000000002,254.49999999999997,395.9,430.29999999999995,9.2,0.8894509745573577,0.9593364082725788,9.8957,76.9346,2012-05-23,0,,
54.1,93.4,99.7,108.9,119.1,173.3,395.90000000000003,711.3000000000002,1460.2999999999997,54.1,3.5159369310993855,1.3047363386713566,11.4816,75.9957,2009-10-03,1,downpour,medium
21.6,70.0,96.19999999999999,189.79999999999998,243.3,288.80000000000007,389.1,504.4000000000001,636.2,21.6,2.2333220010983554,1.8428096969063004,11.4816,75.9957,2008-06-14,0,,
20.7,117.39999999999999,268.3,314.2,340.59999999999997,754.4,1135.2,1390.0,1586.5000000000002,20.7,4.295980803839233,5.521103779244151,11.4816,75.9957,2007-07-04,0,,
6.1,11.5,28.4,38.300000000000004,62.50000000000001,143.2,428.50000000000006,817.5999999999999,932.9000000000002,6.1,0.45810749036766146,1.140886828185202,11.4816,75.9957,2008-07-14,0,,
34.8,75.69999999999999,96.89999999999999,152.9,192.29999999999995,234.39999999999998,553.6999999999999,1222.3,2304.8,34.8,2.4572036716775307,1.521713449514434,11.4816,75.9957,2007-08-31,0,,
30.5,79.1,109.0,125.4,147.5,200.99999999999997,624.9,805.8,878.8000000000001,30.5,3.8851000442851964,1.9744756230121983,12.82402778,75.21163889,2017-06-27,1,rain,small
0.1,11.0,30.500000000000004,65.39999999999999,95.7,118.79999999999998,184.1,291.1000000000001,331.00000000000006,0.1,0.4648423969518531,1.0040595774160026,12.82402778,75.21163889,2015-05-20,0,,
11.9,48.6,71.60000000000001,84.69999999999999,93.4,121.9,198.2,280.1,320.5,11.9,2.051555309504861,1.0291547005293933,12.82402778,75.21163889,2015-05-17,0,,
0.0,0.1,0.1,0.1,0.1,0.1,54.400000000000006,281.40000000000003,602.7,0.0,0.004385334291876348,0.0008770668583752696,12.82402778,75.21163889,2014-11-30,0,,
2.8,10.3,17.5,26.7,35.49999999999999,44.099999999999994,85.8,92.8,98.8,2.8,0.3951199572367387,0.338345439109518,12.82402778,75.21163889,2014-05-04,0,,
11.2,82.7,89.8,127.20000000000002,165.0,217.5,242.3,519.4000000000001,832.8000000000001,11.2,5.432294190491574,2.8573736068486517,11.2777,77.1236,2007-10-30,1,rain,medium
