district,slope,rainfall,risk_level
Ernakulam,18.6,462.49,Low
Kannur,42.52,461.8,High
Kasaragod,22.4,339.31,Moderate
Thrissur,38.66,359.49,High
Alappuzha,19.55,133.89,Low
Kasaragod,22.2,115.33,Low
Pathanamthitta,7.73,59.77,Low
Wayanad,23.11,416.27,Moderate
Kannur,44.01,423.5,High
Idukki,38.99,319.31,High
Kasaragod,13.01,191.41,Low
Pathanamthitta,44.49,290.69,Moderate
Idukki,37.68,148.16,Low
Idukki,17.59,86.63,Low
Wayanad,14.11,86.88,Low
Thiruvananthapuram,16.39,417.05,Low
Wayanad,16.44,178.26,Low
Palakkad,44.06,396.52,High
Pathanamthitta,9.47,198.94,Low
Kollam,8.51,334.78,Low
Kannur,20.46,183.98,Moderate
Pathanamthitta,14.25,460.1,Low
Malappuram,15.35,497.69,Low
Kottayam,21.91,133.96,Low
Malappuram,9.35,285.81,Low
Palakkad,28.33,145.51,Low
Palakkad,16.55,266.59,Low
Idukki,44.2,301.71,High
Ernakulam,9.69,217.28,Low
Wayanad,37.43,171.64,Moderate
Pathanamthitta,9.3,221.04,Low
Wayanad,17.54,99.14,Low
Kottayam,31.44,63.48,Low
Malappuram,5.49,266.43,Low
Kollam,12.11,274.44,Low
Wayanad,14.92,180.2,Low
Kottayam,32.0,51.34,Low
Kottayam,44.36,251.18,Moderate
Idukki,44.98,370.19,High
Thrissur,42.32,301.28,High
Thrissur,33.99,450.99,High
Alappuzha,34.51,315.19,High
Kollam,5.92,436.94,Low
Malappuram,29.68,355.75,Moderate
Kannur,18.83,451.48,Low
Kannur,34.75,121.17,Low
Malappuram,7.1,96.79,Low
Malappuram,12.93,296.35,Low
Kollam,12.73,91.65,Low
Idukki,39.46,286.56,Moderate
Idukki,35.85,328.63,High
Thrissur,42.88,496.36,High
Ernakulam,17.85,241.49,Low
Kasaragod,30.08,470.42,High
Malappuram,20.77,305.68,Moderate
Thiruvananthapuram,23.53,399.7,Moderate
Ernakulam,43.16,220.75,Moderate
Kollam,10.23,237.05,Low
Thiruvananthapuram,26.08,181.39,Moderate
Kollam,13.22,142.51,Low
Pathanamthitta,17.62,372.04,Low
Kozhikode,12.57,364.34,Low
Thrissur,29.68,268.73,Moderate
Kozhikode,43.03,296.92,Moderate
Thrissur,32.24,440.02,High
Thrissur,16.6,300.14,Low
Kannur,42.66,198.89,Moderate
Kottayam,13.92,376.72,Low
Ernakulam,32.52,417.11,High
Kollam,8.19,491.4,Low
Palakkad,40.98,57.16,Low
Ernakulam,7.23,407.41,Low
Kollam,16.54,381.79,Low
Pathanamthitta,9.51,396.05,Low
Thrissur,34.15,252.39,Moderate
Thiruvananthapuram,18.2,162.92,Low
Kozhikode,41.88,118.9,Low
Kozhikode,42.5,172.98,Moderate
Palakkad,33.01,69.35,Low
Pathanamthitta,5.95,324.07,Low
Palakkad,9.23,370.76,Low
Alappuzha,40.15,193.08,Moderate
Pathanamthitta,36.09,79.65,Low
Kollam,39.21,408.43,High
Kollam,10.66,149.72,Low
Thiruvananthapuram,30.2,74.21,Low
Kasaragod,34.67,380.57,High
Thiruvananthapuram,25.75,451.01,Moderate
Thiruvananthapuram,44.76,228.29,Moderate
Thiruvananthapuram,33.23,428.01,High
Malappuram,40.28,362.27,High
Thiruvananthapuram,44.26,130.38,Low
Ernakulam,11.58,112.91,Low
Thrissur,9.66,246.91,Low
Kasaragod,22.81,379.9,Moderate
Pathanamthitta,22.69,415.02,Moderate
Wayanad,34.76,198.38,Moderate
Idukki,11.22,487.25,Low
Kollam,5.59,54.78,Low
Palakkad,13.06,246.56,Low
Ernakulam,23.81,375.16,Moderate
Wayanad,32.32,294.91,Moderate
Kollam,30.85,72.96,Low
Pathanamthitta,35.14,459.84,High
Idukki,16.55,189.63,Low
Ernakulam,38.49,439.3,High
Idukki,10.01,197.99,Low
Palakkad,7.92,196.17,Low
Kozhikode,41.54,394.32,High
Wayanad,21.49,218.86,Moderate
Ernakulam,34.96,484.45,High
Thrissur,22.06,277.7,Moderate
Malappuram,35.07,334.31,High
Kannur,11.95,390.53,Low
Kozhikode,33.05,92.27,Low
Palakkad,8.71,292.97,Low
Kollam,12.02,285.02,Low
Kannur,31.48,123.08,Low
Kasaragod,9.7,391.39,Low
Kottayam,24.37,287.49,Moderate
Alappuzha,29.43,242.49,Moderate
Idukki,39.44,199.07,Moderate
Kottayam,27.74,150.24,Moderate
Kottayam,11.86,450.64,Low
Ernakulam,34.1,400.54,High
Kannur,21.13,76.51,Low
Idukki,31.8,147.34,Low
Kasaragod,37.06,234.86,Moderate
Wayanad,28.43,70.49,Low
Thiruvananthapuram,14.29,323.38,Low
Thiruvananthapuram,32.45,225.98,Moderate
Pathanamthitta,37.83,126.43,Low
Thiruvananthapuram,44.63,155.93,Moderate
Kasaragod,37.79,423.81,High
Thrissur,41.85,74.1,Low
Kottayam,20.66,105.97,Low
Kannur,17.8,425.87,Low
Pathanamthitta,16.03,348.0,Low
Wayanad,12.94,141.48,Low
Kasaragod,40.55,332.41,High
Idukki,35.31,209.87,Moderate
Kottayam,31.15,364.73,High
Kasaragod,29.74,223.03,Moderate
Alappuzha,31.27,473.62,High
Alappuzha,6.82,252.33,Low
Wayanad,27.36,396.22,Moderate
Thiruvananthapuram,9.52,176.96,Low
Kannur,37.05,67.26,Low
Kottayam,9.61,290.36,Low
Thrissur,21.94,326.78,Moderate
Kozhikode,25.01,455.49,Moderate
Idukki,16.19,458.7,Low
Thrissur,16.14,382.29,Low
Thiruvananthapuram,35.99,116.73,Low
Alappuzha,16.26,286.37,Low
Idukki,38.3,304.75,High
Thrissur,22.98,89.26,Low
Kollam,35.7,119.38,Low
Kozhikode,28.32,341.68,Moderate
Kollam,39.94,358.62,High
Alappuzha,43.23,331.61,High
Kottayam,27.03,333.73,Moderate
Thrissur,40.23,434.65,High
Kannur,13.46,184.56,Low
Malappuram,11.45,446.1,Low
Alappuzha,42.89,87.46,Low
Alappuzha,16.85,430.46,Low
Alappuzha,23.83,420.77,Moderate
Malappuram,26.08,377.43,Moderate
Malappuram,7.26,158.2,Low
Malappuram,32.99,295.48,Moderate
Kozhikode,7.11,435.99,Low
Malappuram,41.12,331.98,High
Kannur,7.29,459.25,Low
Kollam,14.86,92.22,Low
Palakkad,22.05,114.14,Low
Wayanad,13.03,324.48,Low
Idukki,10.05,416.69,Low
Ernakulam,30.48,74.09,Low
Wayanad,32.4,293.9,Moderate
Palakkad,20.13,258.78,Moderate
Kollam,26.79,275.03,Moderate
Kottayam,37.75,364.38,High
Kottayam,31.74,444.74,High
Kollam,21.75,387.87,Moderate
Kannur,7.94,116.78,Low
Kozhikode,26.77,237.73,Moderate
Kasaragod,16.83,424.94,Low
Kannur,6.73,454.4,Low
Kottayam,11.44,113.51,Low
Palakkad,33.25,61.22,Low
Palakkad,17.27,124.76,Low
Malappuram,40.35,382.91,High
Palakkad,15.25,455.22,Low
Kottayam,15.34,199.95,Low
Ernakulam,37.16,80.06,Low
Palakkad,41.62,164.86,Moderate
Kannur,43.08,249.26,Moderate
Palakkad,13.44,227.05,Low
Wayanad,36.04,277.24,Moderate
Pathanamthitta,21.32,450.64,Moderate
Kollam,29.58,205.12,Moderate
Pathanamthitta,32.19,474.9,High
Kollam,42.55,365.67,High
Ernakulam,34.01,280.35,Moderate
Thrissur,25.15,66.19,Low
Kottayam,33.29,307.7,High
Kannur,21.86,455.4,Moderate
Palakkad,5.13,86.72,Low
Kozhikode,9.55,170.49,Low
Kottayam,15.55,236.73,Low
Idukki,22.81,51.1,Low
Kottayam,13.33,415.74,Low
Malappuram,35.31,158.0,Moderate
Thrissur,6.17,205.34,Low
Palakkad,32.8,305.69,High
Thrissur,33.05,95.14,Low
Alappuzha,20.96,329.15,Moderate
Wayanad,31.03,329.23,High
Pathanamthitta,9.59,213.89,Low
Kannur,29.42,66.58,Low
Kannur,6.14,403.81,Low
Kasaragod,6.11,121.82,Low
Idukki,22.24,290.6,Moderate
Ernakulam,37.42,141.99,Low
Kottayam,11.03,138.13,Low
Kottayam,26.6,210.42,Moderate
Malappuram,41.35,418.74,High
Palakkad,43.79,487.9,High
Thrissur,8.18,205.47,Low
Wayanad,37.53,490.97,High
Alappuzha,34.07,63.61,Low
Kollam,32.17,368.04,High
Kasaragod,26.52,264.94,Moderate
Kannur,13.13,410.97,Low
Kasaragod,10.39,285.11,Low
Alappuzha,15.96,237.14,Low
Wayanad,26.42,391.69,Moderate
Kannur,21.93,381.43,Moderate
Kottayam,14.54,73.28,Low
Kollam,6.8,134.31,Low
Idukki,8.62,424.38,Low
Kannur,23.77,295.36,Moderate
Kollam,13.0,457.43,Low
Pathanamthitta,28.38,407.06,Moderate
Kannur,38.19,374.36,High
Palakkad,18.5,219.53,Low
Kasaragod,35.12,485.52,High
Ernakulam,41.75,103.52,Low
Kannur,27.56,126.67,Low
Alappuzha,41.54,484.95,High
Kannur,23.0,241.94,Moderate
Palakkad,8.73,443.25,Low
Kollam,37.26,405.8,High
Thiruvananthapuram,30.37,393.35,High
Idukki,44.34,420.34,High
Thiruvananthapuram,35.59,181.96,Moderate
Kannur,40.65,190.08,Moderate
Thiruvananthapuram,33.26,443.08,High
Thiruvananthapuram,8.94,235.65,Low
Alappuzha,26.2,81.45,Low
Palakkad,21.18,301.37,Moderate
Thrissur,36.03,131.8,Low
Alappuzha,28.75,414.19,Moderate
Palakkad,44.04,411.16,High
Idukki,42.22,413.94,High
Kannur,14.3,216.73,Low
Palakkad,41.3,484.59,High
Idukki,42.6,395.64,High
Thiruvananthapuram,40.12,87.27,Low
Idukki,42.01,377.44,High
Kottayam,44.18,491.74,High
Malappuram,16.32,292.06,Low
Alappuzha,20.95,445.56,Moderate
Palakkad,7.68,158.29,Low
Kottayam,12.43,177.42,Low
Kozhikode,19.6,384.05,Low
Kozhikode,13.47,478.79,Low
Kasaragod,6.35,181.5,Low
Malappuram,10.24,87.05,Low
Kannur,19.93,383.8,Low
Thiruvananthapuram,37.71,242.53,Moderate
Kollam,27.36,99.06,Low
Kottayam,7.59,341.71,Low
Malappuram,34.86,67.59,Low
Thiruvananthapuram,33.8,482.21,High
Thrissur,27.35,427.65,Moderate
Pathanamthitta,24.62,248.18,Moderate
Kozhikode,5.26,377.31,Low
Kollam,20.55,86.31,Low
Kottayam,12.22,376.31,Low
Ernakulam,35.46,416.23,High
Pathanamthitta,17.99,333.21,Low
Kannur,28.84,444.82,Moderate
Kannur,29.69,351.71,Moderate
Alappuzha,10.85,262.38,Low
Palakkad,22.44,398.65,Moderate
Kollam,11.36,81.22,Low
Alappuzha,18.37,54.41,Low
Thiruvananthapuram,18.47,78.04,Low
Kollam,36.15,350.01,High
Thrissur,32.04,223.17,Moderate
Palakkad,21.12,432.42,Moderate
Pathanamthitta,14.5,357.61,Low
Alappuzha,31.62,350.32,High
Kasaragod,44.84,98.43,Low
Kozhikode,26.07,468.7,Moderate
Kannur,35.51,128.53,Low
Kollam,27.73,412.95,Moderate
Thrissur,44.64,159.25,Moderate
Thiruvananthapuram,33.13,486.31,High
Wayanad,21.88,95.29,Low
Pathanamthitta,35.6,81.82,Low
Ernakulam,8.69,216.38,Low
Ernakulam,27.29,272.35,Moderate
Kozhikode,43.61,192.22,Moderate
Kollam,42.9,224.79,Moderate
Wayanad,15.53,155.94,Low
Kasaragod,28.74,426.35,Moderate
Alappuzha,38.64,173.25,Moderate
Kottayam,13.18,294.1,Low
Kottayam,16.44,129.83,Low
Wayanad,43.35,156.57,Moderate
Kannur,18.58,356.11,Low
Kannur,27.2,145.94,Low
Kollam,44.83,300.64,High
Kasaragod,42.27,160.73,Moderate
Ernakulam,18.49,161.26,Low
Kasaragod,20.75,358.43,Moderate
Kasaragod,33.39,152.11,Moderate
Thrissur,33.19,242.45,Moderate
Idukki,38.18,222.21,Moderate
Wayanad,10.58,177.12,Low
Thiruvananthapuram,15.49,354.54,Low
Kannur,23.91,447.39,Moderate
Palakkad,12.24,363.32,Low
Kollam,15.96,106.97,Low
Alappuzha,9.4,482.38,Low
Palakkad,18.91,178.08,Low
Kasaragod,31.45,342.16,High
Pathanamthitta,16.71,52.14,Low
Palakkad,39.34,284.21,Moderate
Kollam,38.71,250.92,Moderate
Malappuram,39.84,189.01,Moderate
Kozhikode,14.91,55.9,Low
Palakkad,13.9,220.16,Low
Wayanad,41.73,267.95,Moderate
Wayanad,19.43,70.22,Low
Wayanad,8.33,377.76,Low
Kasaragod,6.33,151.4,Low
Alappuzha,10.08,346.76,Low
Ernakulam,6.67,189.72,Low
Kozhikode,17.93,465.34,Low
Ernakulam,17.67,304.65,Low
Pathanamthitta,5.0,458.83,Low
Kottayam,7.01,414.48,Low
Malappuram,12.76,385.26,Low
Wayanad,6.51,138.37,Low
Pathanamthitta,25.12,367.92,Moderate
Palakkad,7.47,275.33,Low
Kozhikode,31.97,122.07,Low
Ernakulam,19.8,233.56,Low
Thrissur,9.63,498.07,Low
Kollam,31.47,308.38,High
Idukki,6.29,101.17,Low
Kannur,18.16,245.24,Low
Ernakulam,33.7,336.16,High
Thiruvananthapuram,9.38,328.32,Low
Malappuram,17.39,94.7,Low
Wayanad,33.95,239.62,Moderate
Alappuzha,33.64,127.98,Low
Kozhikode,5.86,381.81,Low
Alappuzha,7.07,312.42,Low
Wayanad,9.29,495.75,Low
Kottayam,33.27,282.63,Moderate
Thiruvananthapuram,7.95,52.13,Low
Wayanad,36.33,158.81,Moderate
Alappuzha,19.88,242.76,Low
Kollam,35.62,145.44,Low
Kasaragod,28.87,463.84,Moderate
Pathanamthitta,10.1,281.23,Low
Alappuzha,7.92,114.96,Low
Kottayam,23.2,380.19,Moderate
Kasaragod,29.98,58.38,Low
Palakkad,43.3,285.45,Moderate
Kozhikode,39.63,415.01,High
Kottayam,19.49,380.79,Low
Malappuram,33.31,87.05,Low
Idukki,43.82,456.61,High
Alappuzha,10.96,327.23,Low
Malappuram,13.18,167.03,Low
Thrissur,28.04,370.93,Moderate
Pathanamthitta,18.1,122.95,Low
Palakkad,29.99,337.8,Moderate
Kannur,32.21,278.41,Moderate
Palakkad,42.64,285.19,Moderate
Alappuzha,14.59,107.27,Low
Kollam,34.96,94.79,Low
Ernakulam,24.88,135.6,Low
Pathanamthitta,20.8,81.83,Low
Pathanamthitta,32.7,404.49,High
Alappuzha,43.12,94.37,Low
Thrissur,11.89,98.22,Low
Thrissur,34.19,429.16,High
Kannur,16.21,313.54,Low
Thrissur,9.06,132.89,Low
Thiruvananthapuram,9.57,385.19,Low
Thiruvananthapuram,27.86,284.58,Moderate
Ernakulam,27.74,225.43,Moderate
Ernakulam,24.82,308.51,Moderate
Thiruvananthapuram,33.59,211.4,Moderate
Kottayam,20.18,174.18,Moderate
Idukki,30.61,484.33,High
